Date,Visitor,Home,Time,Location,Week
9/4/2025,Dallas,@ Philadelphia,5:20 PM,"Lincoln Financial Field, Philadelphia, PA",1
9/5/2025,Kansas City,@ Los Angeles1,5:00 PM,"Corinthians Arena, Sao Paulo, Brazil",1
9/7/2025,Tampa Bay,@ Atlanta,10:00 AM,"Mercedes-Benz Stadium, Atlanta, GA",1
9/7/2025,Cincinnati,@ Cleveland,10:00 AM,"Huntington Bank Field, Cleveland, OH",1
9/7/2025,Miami,@ Indianapolis,10:00 AM,"Lucas Oil Stadium, Indianapolis, IN",1
9/7/2025,Las Vegas,@ New England,10:00 AM,"Gillette Stadium, Foxborough, MA",1
9/7/2025,Arizona,@ New Orleans,10:00 AM,"Caesars Superdome, New Orleans, LA",1
9/7/2025,Pittsburgh,@ New York2,10:00 AM,"MetLife Stadium, East Rutherford, NJ",1
9/7/2025,New York1,@ Washington,10:00 AM,"Northwest Stadium, Landover, MD",1
9/7/2025,Carolina,@ Jacksonville,10:00 AM,"EverBank Stadium, Jacksonville, FL",1
9/7/2025,Tennessee,@ Denver,1:05 PM,"Empower Field at Mile High, Denver, CO",1
9/7/2025,San Francisco,@ Seattle,1:05 PM,"Lumen Field, Seattle, WA",1
9/7/2025,Detroit,@ Green Bay,1:25 PM,"Lambeau Field, Green Bay, WI",1
9/7/2025,Houston,@ Los Angeles2,1:25 PM,"SoFi Stadium, Inglewood, CA",1
9/7/2025,Baltimore,@ Buffalo,5:20 PM,"Highmark Stadium, Orchard Park, NY",1
9/8/2025,Minnesota,@ Chicago,5:15 PM,"Soldier Field, Chicago, IL",1
9/11/2025,Washington,@ Green Bay,5:15 PM,"Lambeau Field, Green Bay, WI",2
9/14/2025,Jacksonville,@ Cincinnati,10:00 AM,"Paycor Stadium, Cincinnati, OH",2
9/14/2025,New York1,@ Dallas,10:00 AM,"AT&T Stadium, Arlington, TX",2
9/14/2025,Chicago,@ Detroit,10:00 AM,"Ford Field, Detroit, MI",2
9/14/2025,Los Angeles2,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",2
9/14/2025,New England,@ Miami,10:00 AM,"Hard Rock Stadium, Miami Gardens, FL",2
9/14/2025,San Francisco,@ New Orleans,10:00 AM,"Caesars Superdome, New Orleans, LA",2
9/14/2025,Buffalo,@ New York2,10:00 AM,"MetLife Stadium, East Rutherford, NJ",2
9/14/2025,Seattle,@ Pittsburgh,10:00 AM,"Acrisure Stadium, Pittsburgh, PA",2
9/14/2025,Cleveland,@ Baltimore,10:00 AM,"M&T Bank Stadium, Baltimore, MD",2
9/14/2025,Denver,@ Indianapolis,1:05 PM,"Lucas Oil Stadium, Indianapolis, IN",2
9/14/2025,Carolina,@ Arizona,1:05 PM,"State Farm Stadium, Glendale, AZ",2
9/14/2025,Philadelphia,@ Kansas City,1:25 PM,"GEHA Field at Arrowhead Stadium, Kansas City, MO",2
9/14/2025,Atlanta,@ Minnesota,5:20 PM,"U.S. Bank Stadium, Minneapolis, MN",2
9/15/2025,Tampa Bay,@ Houston,4:00 PM,"NRG Stadium, Houston, TX",2
9/15/2025,Los Angeles1,@ Las Vegas,7:00 PM,"Allegiant Stadium, Las Vegas, NV",2
9/18/2025,Miami,@ Buffalo,5:15 PM,"Highmark Stadium, Orchard Park, NY",3
9/21/2025,Green Bay,@ Cleveland,10:00 AM,"Huntington Bank Field, Cleveland, OH",3
9/21/2025,Indianapolis,@ Tennessee,10:00 AM,"Nissan Stadium, Nashville, TN",3
