index,matchup,ID
0,Cowboys @ Eagles,401772510
1,Chiefs @ Chargers,401772714
2,Buccaneers @ Falcons,401772830
3,Bengals @ Browns,401772829
4,Dolphins @ Colts,401772719
5,Raiders @ Patriots,401772720
6,Cardinals @ Saints,401772718
7,Steelers @ Jets,401772721
8,Giants @ Commanders,401772827
9,Panthers @ Jaguars,401772828
10,Titans @ Broncos,401772832
11,49ers @ Seahawks,401772831
12,Lions @ Packers,401772722
13,Texans @ Rams,401772723
14,Ravens @ Bills,401772918
15,Vikings @ Bears,401772810
16,Buccaneers @ Texans,401772715
17,Chargers @ Raiders,401772811
18,Commanders @ Packers,401772936
19,Jaguars @ Bengals,401772725
20,Giants @ Cowboys,401772834
21,Bears @ Lions,401772835
22,Rams @ Titans,401772724
23,Patriots @ Dolphins,401772728
24,49ers @ Saints,401772833
25,Bills @ Jets,401772727
26,Seahawks @ Steelers,401772836
27,Browns @ Ravens,401772726
28,Broncos @ Colts,401772729
29,Panthers @ Cardinals,401772730
30,Eagles @ Chiefs,401772837
31,Falcons @ Vikings,401772919
32,Dolphins @ Bills,401772937
33,Packers @ Browns,401772842
34,Colts @ Titans,401772733
35,Bengals @ Vikings,401772731
36,Steelers @ Patriots,401772732
37,Rams @ Eagles,401772839
38,Jets @ Buccaneers,401772840
39,Raiders @ Commanders,401772841
40,Falcons @ Panthers,401772838
41,Texans @ Jaguars,401772734
42,Broncos @ Chargers,401772735
43,Saints @ Seahawks,401772736
44,Cowboys @ Bears,401772844
45,Cardinals @ 49ers,401772843
46,Chiefs @ Giants,401772920
47,Lions @ Ravens,401772812
48,Seahawks @ Cardinals,401772938
49,Vikings @ Steelers,401772632
50,Commanders @ Falcons,401772739
51,Saints @ Bills,401772740
52,Browns @ Lions,401772846
53,Panthers @ Patriots,401772847
54,Chargers @ Giants,401772737
55,Eagles @ Buccaneers,401772845
56,Titans @ Texans,401772738
57,Colts @ Rams,401772849
58,Jaguars @ 49ers,401772848
59,Ravens @ Chiefs,401772741
60,Bears @ Raiders,401772742
61,Packers @ Cowboys,401772921
62,Jets @ Dolphins,401772813
63,Bengals @ Broncos,401772716
64,49ers @ Rams,401772939
65,Vikings @ Browns,401772633
66,Raiders @ Colts,401772851
67,Giants @ Saints,401772744
68,Cowboys @ Jets,401772850
69,Broncos @ Eagles,401772745
70,Dolphins @ Panthers,401772852
71,Texans @ Ravens,401772743
72,Titans @ Cardinals,401772747
73,Buccaneers @ Seahawks,401772746
74,Lions @ Bengals,401772854
75,Commanders @ Chargers,401772853
76,Patriots @ Bills,401772922
77,Chiefs @ Jaguars,401772814
78,Eagles @ Giants,401772940
79,Broncos @ Jets,401772634
80,Cardinals @ Colts,401772856
81,Chargers @ Dolphins,401772750
82,Browns @ Steelers,401772748
