Home,Visitor,PredictedTotal,HomeSpread,VisitorSpread,o_PredictedTotal,u_PredictedTotal,Unnamed: 0,game_id,open_total,visitor_spread,o_total,visitor_ml,open_spread,home_spread,u_total,home_ml,visitor_team,home_team,best_total,best_spread
ARI,SEA,49.1,0.5,-0.5,o49.1,u49.1,1,401772938,o44.5,-1.5,o43.5,-110,-1.5,1.5,u43.5,-110,SEA,ARI,Over,Mininmal Edge
PIT,MIN,45.4,-0.5,0.5,o45.4,u45.4,2,401772632,-1.5,-2.5,o40.5,-150,u41.5,2.5,u40.5,130,MIN,PIT,Mininmal Edge,Mininmal Edge
ATL,WAS,46.9,-2.4,2.4,o46.9,u46.9,5,401772739,-3.5,-2.5,o44.5,-145,u46.5,2.5,u44.5,125,WAS,ATL,Mininmal Edge,Mininmal Edge
BUF,NO,47.9,-10.5,10.5,o47.9,u47.9,6,401772740,o48.5,15.5,o47.5,900,-14.5,-15.5,u47.5,-1800,NO,BUF,Mininmal Edge,Away
DET,CLE,52.6,-14.1,14.1,o52.6,u52.6,8,401772846,o45.5,8.5,o46.5,360,-8.5,-8.5,u46.5,-500,CLE,DET,Over,Home
NE,CAR,48.0,-5.0,5.0,o48.0,u48.0,9,401772847,o44.5,5.5,o43.5,200,-4.5,-5.5,u43.5,-240,CAR,NE,Mininmal Edge,Mininmal Edge
NYG,LAC,40.3,6.5,-6.5,o40.3,u40.3,3,401772737,-5.5,-6.5,o44.5,-290,u45.5,6.5,u44.5,240,LAC,NYG,Mininmal Edge,Mininmal Edge
TB,PHI,41.9,-0.6,0.6,o41.9,u41.9,7,401772845,-2.5,-3.5,o43.5,-170,u45.5,3.5,u43.5,145,PHI,TB,Mininmal Edge,Mininmal Edge
HOU,TEN,45.2,-9.8,9.8,o45.2,u45.2,4,401772738,o39.5,6.5,o39.5,280,-6.5,-6.5,u39.5,-360,TEN,HOU,Over,Mininmal Edge
LA,IND,44.4,-5.5,5.5,o44.4,u44.4,11,401772849,o48.5,3.5,o49.5,160,-3.5,-3.5,u49.5,-190,IND,LA,Under,Mininmal Edge
SF,JAX,43.4,-9.7,9.7,o43.4,u43.4,10,401772848,o45.5,3.5,o46.5,150,-4.5,-3.5,u46.5,-175,JAX,SF,Mininmal Edge,Home
KC,BAL,45.5,3.0,-3.0,o45.5,u45.5,12,401772741,-2.5,-2.5,o48.5,-150,u48.5,2.5,u48.5,130,BAL,KC,Mininmal Edge,Mininmal Edge
LV,CHI,44.1,-1.8,1.8,o44.1,u44.1,13,401772742,-1.5,1.5,o47.5,-105,u47.5,-1.5,u47.5,-115,CHI,LV,Mininmal Edge,Mininmal Edge
DAL,GB,47.0,0.3,-0.3,o47.0,u47.0,14,401772921,-6.5,-6.5,o47.5,-290,u48.5,6.5,u47.5,240,GB,DAL,Mininmal Edge,Home
MIA,NYJ,49.8,-8.4,8.4,o49.8,u49.8,15,401772813,o44.5,2.5,o45.5,120,-2.5,-2.5,u45.5,-140,NYJ,MIA,Mininmal Edge,Home
DEN,CIN,41.4,-2.4,2.4,o41.4,u41.4,16,401772716,o44.5,7.5,o44.5,290,-7.5,-7.5,u44.5,-380,CIN,DEN,Mininmal Edge,Away
