Home,Visitor,PredictedTotal,HomeSpread,VisitorSpread,o_PredictedTotal,u_PredictedTotal,Unnamed: 0,game_id,open_total,visitor_spread,o_total,visitor_ml,open_spread,home_spread,u_total,home_ml,week,best_total,best_spread,diff_spread,diff_total,spread_percent_edge,total_percent_edge
CLE,SF,41.7,5.0,-5.0,o41.7,u41.7,0,401772785,-6.5,-5.5,o34.5,-240,u42.5,5.5,u34.5,200,13,Over,Mininmal Edge,0.5,7.200000000000003,0,17
TEN,JAX,45.6,4.2,-4.2,o45.6,u45.6,1,401772786,-7,-5.5,o41.5,-270,u41.5,5.5,u41.5,220,13,Mininmal Edge,Mininmal Edge,1.2999999999999998,4.100000000000001,0,0
IND,HOU,46.4,-0.9,0.9,o46.4,u46.4,2,401772787,o46.5,3.0,o44.5,145,-3.5,-3.0,u44.5,-170,13,Mininmal Edge,Mininmal Edge,2.1,1.8999999999999986,0,0
MIA,NO,48.6,-5.6,5.6,o48.6,u48.6,3,401772892,o42.5,5.5,o41.5,210,-5.5,-5.5,u41.5,-250,13,Over,Mininmal Edge,0.09999999999999964,7.100000000000001,0,17
NYJ,ATL,41.4,-0.1,0.1,o41.4,u41.4,4,401772893,-2.5,-2.5,o39.5,-145,u39.5,2.5,u39.5,125,13,Mininmal Edge,Mininmal Edge,2.4,1.8999999999999986,0,0
TB,ARI,46.1,-7.6,7.6,o46.1,u46.1,6,401772895,o48.5,3.5,o44.5,160,-6,-3.5,u44.5,-190,13,Mininmal Edge,Mininmal Edge,4.1,1.6000000000000014,0,0
CAR,LA,44.7,10.0,-10.0,o44.7,u44.7,5,401772894,-8.5,-10.0,o44.5,-700,u45.5,10.0,u44.5,450,13,Mininmal Edge,Mininmal Edge,0.0,0.20000000000000284,0,0
SEA,MIN,43.7,-3.7,3.7,o43.7,u43.7,7,401772896,o42.5,11.5,o41.5,600,-9.5,-11.5,u41.5,-1000,13,Mininmal Edge,Away,7.8,2.200000000000003,19,0
PIT,BUF,41.6,3.5,-3.5,o41.6,u41.6,9,401772789,-3.5,-3.0,o45.5,-175,u46.5,3.0,u45.5,150,13,Mininmal Edge,Mininmal Edge,0.5,3.8999999999999986,0,0
LAC,LV,45.7,-8.9,8.9,o45.7,u45.7,8,401772788,o42.5,9.5,o40.5,425,-10,-9.5,u40.5,-650,13,Over,Mininmal Edge,0.5999999999999996,5.200000000000003,0,12
WAS,DEN,48.3,3.9,-3.9,o48.3,u48.3,10,401772931,-6.5,-5.5,o42.5,-275,u44.5,5.5,u42.5,225,13,Over,Mininmal Edge,1.6,5.799999999999997,0,14
NE,NYG,44.9,-5.2,5.2,o44.9,u44.9,11,401772821,o48.5,7.0,o46.5,280,-7,-7.0,u46.5,-360,13,Mininmal Edge,Mininmal Edge,1.7999999999999998,1.6000000000000014,0,0
