,game_id,matchup,moneyline
0,401772824,San Francisco 49ers vs Indianapolis Colts,"['-5.5', '-5.5', 'o45.5', '-270', 'u45.5', '+5.5', 'u45.5', '+220']"
1,401772710,Dallas Cowboys vs Washington Commanders,"['-3', '-5.5', 'o49.5', '-245', 'u51.5', '+5.5', 'u49.5', '+200']"
2,401772711,Detroit Lions vs Minnesota Vikings,"['-3.5', '-5.5', 'o45.5', '-245', 'u48.5', '+5.5', 'u45.5', '+200']"
3,401772622,Denver Broncos vs Kansas City Chiefs,"['-5.5', '-12.5', 'o37.5', '-850', 'u39.5', '+12.5', 'u37.5', '+575']"
4,401772951,Houston Texans vs Los Angeles Chargers,"['-1.5', '+1.5', 'o39.5', '-108', 'u39.5', '-1.5', 'u39.5', '-112']"
5,401772953,Baltimore Ravens vs Green Bay Packers,"['o46.5', '-1.5', 'o43.5', '-125', '-2.5', '+1.5', 'u43.5', '+105']"
6,401772807,Pittsburgh Steelers vs Cleveland Browns,"['-3.5', '-4.5', 'o35.5', '-238', 'u35.5', '+4.5', 'u35.5', '+195']"
7,401772808,New England Patriots vs New York Jets,"['-9.5', '-12.5', 'o42.5', '-900', 'u44.5', '+12.5', 'u42.5', '+600']"
8,401772809,New Orleans Saints vs Tennessee Titans,"['-1.5', '-2.5', 'o39.5', '-148', 'u39.5', '+2.5', 'u39.5', '+124']"
9,401772915,Jacksonville Jaguars vs Indianapolis Colts,"['-5.5', '-6.5', 'o46.5', '-298', 'u44.5', '+6.5', 'u46.5', '+240']"
10,401772916,Tampa Bay Buccaneers vs Miami Dolphins,"['-3', '-5.5', 'o46.5', '-265', 'u46.5', '+5.5', 'u46.5', '+215']"
11,401772952,Seattle Seahawks vs Carolina Panthers,"['-7.5', '-7.5', 'o42.5', '-345', 'u42.5', '+7.5', 'u42.5', '+275']"
12,401772954,Arizona Cardinals vs Cincinnati Bengals,"['o51.5', '+7', 'o52.5', '+275', '-5.5', '-7', 'u52.5', '-345']"
13,401772950,New York Giants vs Las Vegas Raiders,"['-3', '-1.5', 'o43.5', '-125', 'u43.5', '+1.5', 'u43.5', '+105']"
14,401772917,Philadelphia Eagles vs Buffalo Bills,"['o46.5', '+2.5', 'o44.5', '+124', '-3', '-2.5', 'u44.5', '-148']"
15,401772935,Chicago Bears vs San Francisco 49ers,"['o50.5', '+2.5', 'o50.5', '+124', '-3', '-2.5', 'u50.5', '-148']"
16,401772825,Los Angeles Rams vs Atlanta Falcons,"['-8.5', '-8.5', 'o49.5', '-485', 'u48.5', '+8.5', 'u49.5', '+370']"
