,Season,Team,G#,Opp,Spread,Over/Under,Result,vs. Line,OU Result
0,2025,CRD,1,@NOR,-6.5,43.5,"W, 20-13",Won,Under
1,2025,CRD,2,CAR,-7.0,44.5,"W, 27-22",Lost,Over
2,2025,CRD,3,@SFO,2.0,45.5,"L, 15-16",Won,Under
3,2025,CRD,4,SEA,1.5,43.0,"L, 20-23",Lost,Push
4,2025,CRD,5,TEN,-7.5,41.0,"L, 21-22",Lost,Over
5,2025,CRD,6,@IND,9.5,46.5,"L, 27-31",Won,Over
6,2025,CRD,7,GNB,7.0,44.5,"L, 23-27",Won,Over
7,2025,CRD,8,@DAL,3.0,53.5,"W, 27-17",Won,Under
8,2025,CRD,9,@SEA,7.0,45.5,"L, 22-44",Lost,Over
9,2025,CRD,10,SFO,3.5,48.5,"L, 22-41",Lost,Over
10,2025,CRD,11,JAX,2.5,47.5,"L, 24-27",Lost,Over
11,2025,CRD,12,@TAM,3.5,44.5,"L, 17-20",Won,Under
12,2025,CRD,13,LAR,10.0,48.0,"L, 17-45",Lost,Over
13,2025,ATL,1,TAM,-1.0,47.0,"L, 20-23",Lost,Under
14,2025,ATL,2,@MIN,3.0,44.5,"W, 22-6",Won,Under
15,2025,ATL,3,@CAR,-4.5,44.0,"L, 0-30",Lost,Under
16,2025,ATL,4,WAS,-1.5,43.5,"W, 34-27",Won,Over
17,2025,ATL,5,BUF,4.0,50.0,"W, 24-14",Won,Under
18,2025,ATL,6,@SFO,2.0,47.0,"L, 10-20",Lost,Under
19,2025,ATL,7,MIA,-7.0,44.5,"L, 10-34",Lost,Under
20,2025,ATL,8,@NWE,5.0,45.0,"L, 23-24",Won,Over
21,2025,ATL,9,@IND,6.5,48.0,"L, 25-31",Won,Over
22,2025,ATL,10,CAR,-4.0,42.0,"L, 27-30",Lost,Over
23,2025,ATL,11,@NOR,2.0,40.0,"W, 24-10",Won,Under
24,2025,ATL,12,@NYJ,-3.0,39.0,"L, 24-27",Lost,Over
25,2025,ATL,13,SEA,6.5,44.0,"L, 9-37",Lost,Over
26,2025,ATL,14,@TAM,4.5,44.0,"W, 29-28",Won,Over
27,2025,RAV,1,@BUF,-1.5,50.5,"L, 40-41",Lost,Over
28,2025,RAV,2,CLE,-11.5,45.0,"W, 41-17",Won,Over
29,2025,RAV,3,DET,-4.0,53.0,"L, 30-38",Lost,Over
30,2025,RAV,4,@KAN,-2.5,48.5,"L, 20-37",Lost,Over
31,2025,RAV,5,HOU,1.0,40.5,"L, 10-44",Lost,Over
32,2025,RAV,6,LAR,7.0,44.5,"L, 3-17",Lost,Under
33,2025,RAV,7,CHI,-2.5,45.0,"W, 30-16",Won,Over
34,2025,RAV,8,@MIA,-7.5,51.0,"W, 28-6",Won,Under
35,2025,RAV,9,@MIN,-4.0,49.0,"W, 27-19",Won,Under
36,2025,RAV,10,@CLE,-9.0,38.5,"W, 23-16",Lost,Over
37,2025,RAV,11,NYJ,-14.0,44.0,"W, 23-10",Lost,Under
38,2025,RAV,12,CIN,-7.5,51.5,"L, 14-32",Lost,Under
39,2025,RAV,13,PIT,-5.5,42.5,"L, 22-27",Lost,Over
