,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,Date,Visitor,Visitor_score,Home,Home_score,OTFlag,Box Score,total_actual,spread_actual,Home_win,Visitor_win,Total_win,Spread_win
0,1,LA,HOU,46.6,-3.0,3.0,o46.6,u46.6,401772723,,3.0,o43.5,,,-3.0,u43.5,,Mininmal Edge,Mininmal Edge,0.0,3.1000000000000014,,,09/07/2025,HOU,9,LA,14,,Box Score,23,5,True,False,0,0
1,1,ATL,TB,47.3,5.0,-5.0,o47.3,u47.3,401772830,,1.0,o47.0,,,-1.0,u47.0,,Mininmal Edge,Away,4.0,0.2999999999999971,,,09/07/2025,TB,23,ATL,20,,Box Score,43,3,False,True,0,0
2,1,CLE,CIN,40.6,2.7,-2.7,o40.6,u40.6,401772829,,-5.0,o48.0,,,5.0,u48.0,,Under,Mininmal Edge,2.3,7.399999999999999,,,09/07/2025,CIN,17,CLE,16,,Box Score,33,1,False,True,1,0
3,1,IND,MIA,42.0,3.2,-3.2,o42.0,u42.0,401772719,,0.0,o46.5,,,0.0,u46.5,,Mininmal Edge,Mininmal Edge,3.2,4.5,,,09/07/2025,MIA,8,IND,33,,Box Score,41,25,True,False,0,0
4,1,NE,LV,43.9,2.0,-2.0,o43.9,u43.9,401772720,,2.5,o44.0,,,-2.5,u44.0,,Mininmal Edge,Mininmal Edge,0.5,0.1000000000000014,,,09/07/2025,LV,20,NE,13,,Box Score,33,7,False,True,0,0
5,1,NO,ARI,46.2,-4.0,4.0,o46.2,u46.2,401772718,,-6.5,o43.5,,,6.5,u43.5,,Mininmal Edge,Home,2.5,2.700000000000003,,,09/07/2025,ARI,20,NO,13,,Box Score,33,7,False,True,0,1
6,1,NYJ,PIT,43.8,3.4,-3.4,o43.8,u43.8,401772721,,-2.5,o38.0,,,2.5,u38.0,,Over,Mininmal Edge,0.8999999999999999,5.799999999999997,,,09/07/2025,PIT,34,NYJ,32,,Box Score,66,2,False,True,1,0
7,1,WAS,NYG,47.2,-7.7,7.7,o47.2,u47.2,401772827,,6.0,o45.5,,,-6.0,u45.5,,Mininmal Edge,Mininmal Edge,1.7000000000000002,1.7000000000000028,,,09/07/2025,NYG,6,WAS,21,,Box Score,27,15,True,False,0,0
8,1,JAX,CAR,46.3,-10.0,10.0,o46.3,u46.3,401772828,,3.5,o46.5,,,-3.5,u46.5,,Mininmal Edge,Home,6.5,0.2000000000000028,,,09/07/2025,CAR,10,JAX,26,,Box Score,36,16,True,False,0,1
9,1,DEN,TEN,49.4,-9.7,9.7,o49.4,u49.4,401772832,,9.0,o42.5,,,-9.0,u42.5,,Over,Mininmal Edge,0.6999999999999993,6.899999999999999,,,09/07/2025,TEN,12,DEN,20,,Box Score,32,8,True,False,0,0
10,1,SEA,SF,44.6,1.8,-1.8,o44.6,u44.6,401772831,,-2.0,o43.0,,,2.0,u43.0,,Mininmal Edge,Mininmal Edge,0.1999999999999999,1.6000000000000014,,,09/07/2025,SF,17,SEA,13,,Box Score,30,4,False,True,0,0
11,1,GB,DET,44.7,1.9,-1.9,o44.7,u44.7,401772722,,1.0,o47.0,,,-1.0,u47.0,,Mininmal Edge,Mininmal Edge,0.8999999999999999,2.299999999999997,,,09/07/2025,DET,13,GB,27,,Box Score,40,14,True,False,0,0
12,1,BUF,BAL,45.1,-1.1,1.1,o45.1,u45.1,401772918,,-1.5,o50.5,,,1.5,u50.5,,Under,Mininmal Edge,0.3999999999999999,5.399999999999999,,,09/07/2025,BAL,40,BUF,41,,Box Score,81,1,True,False,0,0
13,1,CHI,MIN,43.3,1.9,-1.9,o43.3,u43.3,401772810,,-1.5,o43.5,,,1.5,u43.5,,Mininmal Edge,Mininmal Edge,0.3999999999999999,0.2000000000000028,,,09/08/2025,MIN,27,CHI,24,,Box Score,51,3,False,True,0,0
14,1,LAC,KC,45.3,3.1,-3.1,o45.3,u45.3,401772714,,-3.0,o46.5,,,3.0,u46.5,,Mininmal Edge,Mininmal Edge,0.1,1.2000000000000028,,,09/05/2025,KC,21,LAC,27,,Box Score,48,6,True,False,0,0
15,1,PHI,DAL,46.3,-6.2,6.2,o46.3,u46.3,401772510,,8.5,o47.5,,,-8.5,u47.5,,Mininmal Edge,Mininmal Edge,2.3,1.2000000000000028,,,09/04/2025,DAL,20,PHI,24,,Box Score,44,4,True,False,0,0
16,2,CIN,JAX,45.8,-6.2,6.2,o45.8,u45.8,401772725,,3.0,o49.0,,,-3.0,u49.0,,Mininmal Edge,Mininmal Edge,3.2,3.200000000000003,,,09/14/2025,JAX,27,CIN,31,,Box Score,58,4,True,False,0,0
17,2,GB,WAS,45.9,-8.5,8.5,o45.9,u45.9,401772936,,3.5,o48.0,,,-3.5,u48.0,,Mininmal Edge,Home,5.0,2.1000000000000014,,,09/11/2025,WAS,18,GB,27,,Box Score,45,9,True,False,0,1
